id,price,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,accommodates,latitude,longitude,review_scores_rating,availability_365,reviews_per_month,minimum_nights,maximum_nights,price_range
32384648,160.05,Downtown/Civic Center,Room in hotel,Private room,6,1,4,37.78889,-122.41159,4.86,0,0.12,1,15,150-199
42113128,160.05,Potrero Hill,Private room in home,Private room,2,1,4,37.75808,-122.39919,4.75,0,1.26,2,6,150-199
40067364,160.05,Mission,Private room in rental unit,Private room,1,1,2,37.75089,-122.41734,4.84,23,0.62,30,365,150-199
51172223,160.05,Haight Ashbury,Room in boutique hotel,Private room,2,1,4,37.7714,-122.43869,4.79,284,0.79,1,1125,150-199
51765797,160.05,Western Addition,Entire rental unit,Entire home/apt,2,1,3,37.76942,-122.4312,4.75,0,1.26,30,1125,150-199
51754361,160.05,Mission,Entire condo,Entire home/apt,2,1,4,37.758614,-122.419846,4.98,0,1.57,2,14,150-199
50384637,160.05,Downtown/Civic Center,Room in hotel,Private room,1,1,4,37.7852,-122.41239,4.75,0,1.26,1,28,150-199
797074335875849727,160.05,Nob Hill,Room in hotel,Private room,2,1,7,37.792521,-122.410035,4.75,119,1.26,1,28,150-199
41538482,73.0,Outer Sunset,Private room in home,Private room,1,1,4,37.7601,-122.48161,4.95,0,0.96,1,21,50-99
4252808,157.0,Outer Sunset,Entire home,Entire home/apt,1,1,3,37.75859,-122.50797,4.97,81,5.81,2,28,150-199
734801,220.0,Pacific Heights,Entire loft,Entire home/apt,1,1,3,37.78972,-122.43086,4.84,344,0.23,31,1125,200-249
32813435,57.0,Inner Richmond,Private room in home,Private room,1,2,2,37.78354,-122.4621,4.77,170,4.83,1,14,50-99
18471072,160.05,Chinatown,Room in boutique hotel,Private room,1,1,2,37.79121,-122.40779,5.0,365,0.03,2,1125,150-199
31652671,160.05,Haight Ashbury,Entire rental unit,Entire home/apt,1,1,2,37.76645,-122.45041,4.75,87,1.26,90,180,150-199
11152754,41.0,Bernal Heights,Room in boutique hotel,Private room,1,2,1,37.73339,-122.42694,5.0,223,0.25,30,90,0-49
1095653608264242888,174.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.78395,-122.40895,4.75,347,1.26,1,365,150-199
1009541942933726459,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.78754575920534,-122.42051572641152,4.75,365,1.26,2,89,100-149
11761292,175.0,Russian Hill,Entire rental unit,Entire home/apt,3,1,3,37.79789,-122.4158,4.75,358,1.26,90,270,150-199
377569,50.0,Mission,Private room in home,Private room,1,1,1,37.75121,-122.40993,4.54,96,0.83,30,365,0-49
1016312298610419562,150.0,Western Addition,Room in hotel,Private room,1,1,2,37.78786946960004,-122.42277571862827,4.75,365,1.26,2,360,100-149
869415292483724127,88.0,Outer Sunset,Private room in home,Private room,1,1,2,37.750908921443234,-122.48711087014468,4.95,161,2.84,2,6,50-99
41320010,94.0,Western Addition,Private room in rental unit,Private room,1,2,2,37.77434,-122.43039,4.75,365,1.26,60,60,50-99
1019172164614522447,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7884146,-122.4215935,4.75,280,1.26,2,360,100-149
1017412262880168017,150.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7884146,-122.4215935,4.75,280,1.26,2,360,100-149
906453959682313792,57.0,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.7887053966695,-122.4127153731604,5.0,113,0.13,30,365,50-99
861121064838065979,137.0,Mission,Entire rental unit,Entire home/apt,0,1,2,37.7665977,-122.4181501,5.0,235,0.28,30,365,100-149
37893350,160.05,Lakeshore,Private room in rental unit,Private room,1,1,2,37.71511,-122.49711,4.75,0,1.26,30,30,150-199
33083892,211.0,South of Market,Entire rental unit,Entire home/apt,1,1,2,37.77368,-122.40925,5.0,360,0.02,31,1125,200-249
1970756,90.0,Bernal Heights,Entire rental unit,Entire home/apt,1,1,2,37.74035,-122.42012,4.43,306,0.28,30,1125,50-99
39769393,206.0,Financial District,Entire rental unit,Entire home/apt,1,1,2,37.7872571,-122.3963215,4.75,0,1.26,31,1125,200-249
1087751062674579438,150.0,Nob Hill,Room in hotel,Private room,1,1,2,37.78960109371741,-122.42209638993025,4.75,354,1.26,2,360,100-149
22986895,150.0,South of Market,Entire condo,Entire home/apt,2,2,4,37.77849,-122.40592,4.92,155,0.36,30,150,100-149
1267206,88.0,Glen Park,Private room in rental unit,Private room,1,1,2,37.74184,-122.42423,4.83,183,0.72,3,150,50-99
29334701,135.0,Outer Richmond,Private room in home,Private room,1,1,2,37.77282,-122.50757,5.0,8,0.25,2,28,100-149
52954742,160.05,Outer Sunset,Private room in home,Private room,1,1,2,37.761391,-122.509018,4.84,0,1.51,1,14,150-199
48942812,160.05,Inner Richmond,Entire home,Entire home/apt,2,1,3,37.77631,-122.46422,4.75,0,1.26,30,1125,150-199
858762280245894025,160.05,Downtown/Civic Center,Room in hotel,Private room,1,1,2,37.78599079029173,-122.41069428053606,4.75,348,1.26,1,1125,150-199
43412641,264.0,Mission,Entire home,Entire home/apt,1,1,4,37.76077,-122.42561,4.95,0,6.8,1,3,250-299
22402266,120.0,Outer Sunset,Entire rental unit,Entire home/apt,1,1,4,37.74756,-122.48892,4.7,337,0.44,30,1125,100-149
1055812921537745156,58.0,Mission,Private room in rental unit,Private room,1,4,2,37.76506,-122.42014,4.75,64,1.26,30,365,50-99
39777730,99.0,South of Market,Entire serviced apartment,Entire home/apt,1,2,2,37.78022,-122.39752,4.8,355,0.81,3,29,50-99
4987668,88.0,Mission,Private room in condo,Private room,1,1,2,37.7612,-122.41914,5.0,157,2.26,1,90,50-99
8287266,124.0,Castro/Upper Market,Private room in guest suite,Private room,1,1,2,37.76342,-122.4327,4.85,313,3.74,2,1125,100-149
673245628020642932,75.0,West of Twin Peaks,Private room in home,Private room,1,1,1,37.7284095,-122.4575383,4.75,160,1.26,30,365,50-99
38884411,124.0,Mission,Private room in condo,Private room,1,1,2,37.75814,-122.41589,4.95,154,2.43,1,1125,100-149
27111574,145.0,Pacific Heights,Entire rental unit,Entire home/apt,1,1,4,37.78977,-122.44664,4.88,250,0.16,30,1125,100-149
685806932642961390,135.0,West of Twin Peaks,Private room in home,Private room,1,1,2,37.73533,-122.46146,5.0,180,0.95,1,10,100-149
1047128344400833957,52.0,South of Market,Private room in home,Private room,1,1,2,37.77141695752897,-122.41096011521608,4.75,269,1.26,30,365,50-99
